reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67.0,75.0,119.0,6,2,44,5,59.245268399999986,,59.23144820000016,59.245268399999986,60.24539180000011,60.24539180000011,60.24539180000011,60.49637509999957,t,0.2432468000006338,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,6,3,45,3,60.51197090000005,,60.49806939999962,60.51197090000005,61.4951046999995,61.4951046999995,61.5127964000003,61.74867389999963,t,0.24084749999929045,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,6,4,46,6,61.76173629999994,,61.74911489999977,61.76173629999994,62.7619224,62.7619224,62.7619224,63.04953959999966,t,0.2676710000005187,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,6,5,47,1,63.06173039999976,,63.05016819999946,63.06173039999976,64.06192970000029,64.06192970000029,64.06192970000029,64.3155813000003,t,0.24726820000068983,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,6,6,48,2,64.32824249999976,,64.31633169999986,64.32824249999976,65.32838989999982,65.32838989999982,65.32838989999982,65.5629116,t,0.22297699999944598,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,7,0,49,0,65.57810580000023,,65.56528460000027,65.57810580000023,66.57816529999945,66.57816529999945,66.57816529999945,66.81475580000006,l,0.22726939999938622,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,7,1,50,4,66.82809850000012,,66.81532729999981,66.82809850000012,67.82823019999978,67.82823019999978,67.82823019999978,68.27925739999955,t,0.4418132999999216,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,7,2,51,2,68.29466869999942,,68.2797413999997,68.29466869999942,69.29481279999982,69.29481279999982,69.29481279999982,69.53159559999949,t,0.2335441000004721,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,7,3,52,3,69.54456729999947,,69.53302359999998,69.54456729999947,70.54480890000013,70.54480890000013,70.54480890000013,70.81251379999958,t,0.2560483999995995,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,7,4,53,1,70.82777129999977,,70.81303939999998,70.82777129999977,71.82793270000002,71.82793270000002,71.82793270000002,72.07896859999983,t,0.24613940000017465,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,7,5,54,6,72.09445090000008,,72.07948380000016,72.09445090000008,73.0944669999999,73.0944669999999,73.0944669999999,73.29578909999964,t,0.19329040000047826,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,7,6,55,5,73.31099199999971,,73.2977393000001,73.31099199999971,74.31131610000011,74.31131610000011,74.31131610000011,74.48147249999965,t,0.16304270000000542,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
